2016-04-25 10:35:11,411 [Worker-25] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:35:11,411 [Worker-25] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:35:12,622 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:35:12,622 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:35:12,638 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:35:12,638 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:40:57,881 [Worker-35] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dynamo-parent:dynamo:0.0.1-SNAPSHOT @ C:\Users\ll42079\Worksapce-new\pom.xml.
2016-04-25 10:40:57,986 [Worker-35] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:40:59,894 [New I/O client worker #1-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.pom
2016-04-25 10:40:59,904 [New I/O client worker #1-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.pom
2016-04-25 10:41:00,706 [Worker-35] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:41:01,939 [New I/O client worker #2-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcomponents-core/4.4.4/httpcomponents-core-4.4.4.pom
2016-04-25 10:41:02,219 [New I/O client worker #2-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcomponents-core/4.4.4/httpcomponents-core-4.4.4.pom
2016-04-25 10:41:03,064 [Worker-35] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:41:04,574 [New I/O client worker #3-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar
2016-04-25 10:41:06,882 [New I/O client worker #3-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpcore/4.4.4/httpcore-4.4.4.jar
2016-04-25 10:41:07,915 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:41:07,917 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:41:07,920 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:41:07,922 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:41:09,230 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:41:09,232 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:41:09,235 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:41:09,237 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:53:39,163 [Worker-41] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: dynamo-parent:dynamo:0.0.1-SNAPSHOT @ C:\Users\ll42079\Worksapce-new\pom.xml.
2016-04-25 10:53:39,256 [Worker-41] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:54:04,964 [New I/O client worker #4-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpclient/4.4.4/httpclient-4.4.4.pom
2016-04-25 10:54:04,979 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.httpcomponents:httpclient:jar:4.4.4 is missing, no dependency information available
2016-04-25 10:54:04,995 [Worker-41] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2016-04-25 10:54:08,427 [New I/O client worker #5-2] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://glisdebld01.gwl.bz:8443/archiva/repository/corporate/org/apache/httpcomponents/httpclient/4.4.4/httpclient-4.4.4.jar
2016-04-25 10:54:08,599 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:54:08,614 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-25 10:54:08,614 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-25 10:54:08,614 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
